image,stem,prefix,number,source_split,group_id,group_size,upstream_splits,is_upstream_leak,proposed_split
AoF00000.jpg,AoF00000,AoF,0,train,grp_aof_single_AoF00000,1,train,0,train
AoF00001.jpg,AoF00001,AoF,1,train,grp_aof_single_AoF00001,1,train,0,train
AoF00002.jpg,AoF00002,AoF,2,train,grp_aof_single_AoF00002,1,train,0,train
AoF00003.jpg,AoF00003,AoF,3,train,grp_aof_00238,9,test+train+val,1,train
AoF00004.jpg,AoF00004,AoF,4,train,grp_aof_single_AoF00004,1,train,0,train
AoF00005.jpg,AoF00005,AoF,5,train,grp_aof_00519,5,train+val,1,train
AoF00006.jpg,AoF00006,AoF,6,train,grp_aof_00519,5,train+val,1,train
AoF00007.jpg,AoF00007,AoF,7,train,grp_aof_00519,5,train+val,1,train
AoF00008.jpg,AoF00008,AoF,8,val,grp_aof_00519,5,train+val,1,train
AoF00009.jpg,AoF00009,AoF,9,val,grp_aof_00519,5,train+val,1,train
AoF00010.jpg,AoF00010,AoF,10,train,grp_aof_00652,4,train+val,1,train
AoF00011.jpg,AoF00011,AoF,11,val,grp_aof_00652,4,train+val,1,train
AoF00012.jpg,AoF00012,AoF,12,train,grp_aof_00652,4,train+val,1,train
AoF00013.jpg,AoF00013,AoF,13,train,grp_aof_00652,4,train+val,1,train
AoF00014.jpg,AoF00014,AoF,14,val,grp_aof_single_AoF00014,1,val,0,val
AoF00015.jpg,AoF00015,AoF,15,train,grp_aof_01654,2,train+val,1,train
AoF00016.jpg,AoF00016,AoF,16,train,grp_aof_single_AoF00016,1,train,0,train
AoF00017.jpg,AoF00017,AoF,17,train,grp_aof_single_AoF00017,1,train,0,train
AoF00018.jpg,AoF00018,AoF,18,val,grp_aof_single_AoF00018,1,val,0,val
AoF00019.jpg,AoF00019,AoF,19,train,grp_aof_single_AoF00019,1,train,0,train
AoF00020.jpg,AoF00020,AoF,20,train,grp_aof_single_AoF00020,1,train,0,train
AoF00021.jpg,AoF00021,AoF,21,train,grp_aof_single_AoF00021,1,train,0,train
AoF00022.jpg,AoF00022,AoF,22,train,grp_aof_single_AoF00022,1,train,0,train
AoF00023.jpg,AoF00023,AoF,23,train,grp_aof_single_AoF00023,1,train,0,train
AoF00024.jpg,AoF00024,AoF,24,train,grp_aof_00074,26,test+train+val,1,train
AoF00025.jpg,AoF00025,AoF,25,train,grp_aof_00342,7,train+val,1,train
AoF00026.jpg,AoF00026,AoF,26,train,grp_aof_single_AoF00026,1,train,0,train
AoF00027.jpg,AoF00027,AoF,27,train,grp_aof_single_AoF00027,1,train,0,train
AoF00028.jpg,AoF00028,AoF,28,train,grp_aof_single_AoF00028,1,train,0,train
AoF00029.jpg,AoF00029,AoF,29,val,grp_aof_01654,2,train+val,1,train
AoF00030.jpg,AoF00030,AoF,30,train,grp_aof_single_AoF00030,1,train,0,train
AoF00031.jpg,AoF00031,AoF,31,train,grp_aof_single_AoF00031,1,train,0,train
AoF00032.jpg,AoF00032,AoF,32,train,grp_aof_single_AoF00032,1,train,0,train
AoF00033.jpg,AoF00033,AoF,33,val,grp_aof_single_AoF00033,1,val,0,val
AoF00034.jpg,AoF00034,AoF,34,train,grp_aof_00074,26,test+train+val,1,train
AoF00035.jpg,AoF00035,AoF,35,train,grp_aof_00074,26,test+train+val,1,train
AoF00036.jpg,AoF00036,AoF,36,train,grp_aof_00074,26,test+train+val,1,train
AoF00037.jpg,AoF00037,AoF,37,train,grp_aof_00074,26,test+train+val,1,train
AoF00038.jpg,AoF00038,AoF,38,train,grp_aof_00074,26,test+train+val,1,train
AoF00039.jpg,AoF00039,AoF,39,train,grp_aof_00074,26,test+train+val,1,train
AoF00040.jpg,AoF00040,AoF,40,train,grp_aof_00074,26,test+train+val,1,train
AoF00041.jpg,AoF00041,AoF,41,val,grp_aof_00074,26,test+train+val,1,train
AoF00042.jpg,AoF00042,AoF,42,train,grp_aof_00074,26,test+train+val,1,train
AoF00043.jpg,AoF00043,AoF,43,train,grp_aof_00074,26,test+train+val,1,train
AoF00044.jpg,AoF00044,AoF,44,train,grp_aof_00074,26,test+train+val,1,train
AoF00045.jpg,AoF00045,AoF,45,train,grp_aof_00074,26,test+train+val,1,train
AoF00046.jpg,AoF00046,AoF,46,train,grp_aof_00074,26,test+train+val,1,train
AoF00047.jpg,AoF00047,AoF,47,train,grp_aof_00074,26,test+train+val,1,train
AoF00048.jpg,AoF00048,AoF,48,train,grp_aof_00074,26,test+train+val,1,train
AoF00049.jpg,AoF00049,AoF,49,val,grp_aof_00074,26,test+train+val,1,train
AoF00050.jpg,AoF00050,AoF,50,train,grp_aof_00074,26,test+train+val,1,train
AoF00051.jpg,AoF00051,AoF,51,val,grp_aof_00074,26,test+train+val,1,train
AoF00052.jpg,AoF00052,AoF,52,train,grp_aof_00074,26,test+train+val,1,train
AoF00053.jpg,AoF00053,AoF,53,train,grp_aof_00074,26,test+train+val,1,train
AoF00054.jpg,AoF00054,AoF,54,val,grp_aof_00074,26,test+train+val,1,train
AoF00055.jpg,AoF00055,AoF,55,train,grp_aof_00074,26,test+train+val,1,train
AoF00056.jpg,AoF00056,AoF,56,train,grp_aof_00062,34,test+train+val,1,train
AoF00057.jpg,AoF00057,AoF,57,val,grp_aof_00062,34,test+train+val,1,train
AoF00058.jpg,AoF00058,AoF,58,train,grp_aof_00062,34,test+train+val,1,train
AoF00059.jpg,AoF00059,AoF,59,train,grp_aof_00062,34,test+train+val,1,train
AoF00060.jpg,AoF00060,AoF,60,train,grp_aof_00062,34,test+train+val,1,train
AoF00061.jpg,AoF00061,AoF,61,train,grp_aof_00062,34,test+train+val,1,train
AoF00062.jpg,AoF00062,AoF,62,val,grp_aof_00062,34,test+train+val,1,train
AoF00063.jpg,AoF00063,AoF,63,val,grp_aof_00062,34,test+train+val,1,train
AoF00064.jpg,AoF00064,AoF,64,train,grp_aof_00062,34,test+train+val,1,train
AoF00065.jpg,AoF00065,AoF,65,train,grp_aof_00062,34,test+train+val,1,train
AoF00066.jpg,AoF00066,AoF,66,val,grp_aof_00062,34,test+train+val,1,train
