clip_id,relative_path,class_label,session_id,actor_group,proposed_split,is_sampled_for_audit
FD0001,data/adl_no_fall/video_20260216_151903.mp4,adl_no_fall,session_20260216,grp_session_20260216_actorA_dark_top,train,True
FD0002,data/adl_no_fall/video_20260216_152523.mp4,adl_no_fall,session_20260216,grp_session_20260216_actor_session1_classroom,train,True
FD0003,data/adl_no_fall/video_20260216_152939.mp4,adl_no_fall,session_20260216,grp_session_20260216_actor_session1_classroom,train,True
FD0004,data/adl_no_fall/video_20260216_154339.mp4,adl_no_fall,session_20260216,grp_session_20260216_actor_session1_classroom,train,True
FD0005,data/adl_no_fall/video_20260223_151242.mp4,adl_no_fall,session_20260223,grp_session_20260223_actorE_black_graphic_top,val,True
FD0006,data/adl_no_fall/video_20260223_151533.mp4,adl_no_fall,session_20260223,grp_session_20260223_actor_session2_studio,test,True
FD0007,data/sitting_to_fall/video_20260216_151241.mp4,sitting_to_fall,session_20260216,grp_session_20260216_actorB_green_polo,train,True
FD0008,data/sitting_to_fall/video_20260216_151407.mp4,sitting_to_fall,session_20260216,grp_session_20260216_actorB_green_polo,train,False
FD0009,data/sitting_to_fall/video_20260216_151454.mp4,sitting_to_fall,session_20260216,grp_session_20260216_actorB_green_polo,train,False
FD0010,data/sitting_to_fall/video_20260216_151650.mp4,sitting_to_fall,session_20260216,grp_session_20260216_actorC_male_glasses,val,True
FD0011,data/sitting_to_fall/video_20260216_151931.mp4,sitting_to_fall,session_20260216,grp_session_20260216_actor_session1_classroom,train,False
FD0012,data/sitting_to_fall/video_20260216_152158.mp4,sitting_to_fall,session_20260216,grp_session_20260216_actor_session1_classroom,train,False
FD0013,data/sitting_to_fall/video_20260216_154403.mp4,sitting_to_fall,session_20260216,grp_session_20260216_actor_session1_classroom,train,False
FD0014,data/sitting_to_fall/video_20260223_151341.mp4,sitting_to_fall,session_20260223,grp_session_20260223_actor_session2_studio,test,True
FD0015,data/sitting_to_fall/video_20260223_151402.mp4,sitting_to_fall,session_20260223,grp_session_20260223_actorD_pink_shirt,train,False
FD0016,data/sitting_to_fall/video_20260223_151433.mp4,sitting_to_fall,session_20260223,grp_session_20260223_actor_session2_studio,test,False
FD0017,data/sitting_to_fall/video_20260223_151550.mp4,sitting_to_fall,session_20260223,grp_session_20260223_actor_session2_studio,test,False
