clip_id,class_label,split,raw_frames,candidate_frames,pruned_near_duplicates,retained_frames,completed_verified_labels,pending_manual_bbox_frames
FD0001,adl_no_fall,train,326,30,11,19,19,0
FD0002,adl_no_fall,train,101,15,9,6,6,0
FD0003,adl_no_fall,train,93,13,9,4,4,0
FD0004,adl_no_fall,train,166,20,9,11,11,0
FD0005,adl_no_fall,val,448,29,4,25,25,0
FD0006,adl_no_fall,test,223,22,7,15,15,0
FD0007,sitting_to_fall,train,384,33,6,27,27,0
FD0010,sitting_to_fall,val,301,29,3,26,26,0
FD0014,sitting_to_fall,test,362,28,10,18,18,0
FD0020,sitting_to_fall,val,425,28,3,25,25,0
