clip_id,relative_path,sha256,total_frames,fps,duration_sec
FD0001,data/adl_no_fall/video_20260216_151903.mp4,737ce8f78042fe166fff8d64de7372fb2d8c44ef19945f27f40046e499746000,326,60.017,5.432
FD0002,data/adl_no_fall/video_20260216_152523.mp4,028a9e5c33939b2d13daafee1e26f763682edbf9fd33e2cff57e6ff1a3e8bbd1,101,58.851,1.716
FD0003,data/adl_no_fall/video_20260216_152939.mp4,16bba229904cd3bb423199520ba46494106e088ea1b465350a20116fb8445edc,93,50.003,1.86
FD0004,data/adl_no_fall/video_20260216_154339.mp4,1e039d51dcd1552899ead38392135146f9861802db61212675abb76e8adf5ca0,166,60.016,2.766
FD0005,data/adl_no_fall/video_20260223_151242.mp4,eaacb0bc568de95547d302b711ad7f4d69115b7beb11084d5c1748d8221174a8,448,59.882,7.481
FD0006,data/adl_no_fall/video_20260223_151533.mp4,1efcd5827d94805ff9d35d711c76017f37a6ff959f5eb5a21e6d5be5fc450664,223,50.004,4.46
FD0007,data/sitting_to_fall/video_20260216_151241.mp4,28c5e4e4a0f68efec97e02fcbf4bced7e4dc9ee364a4b8c2df50d6c70d254c2e,384,59.551,6.448
FD0008,data/sitting_to_fall/video_20260216_151407.mp4,d7e285ab93d239a8bac68f4bd96b73590e19b45f4b8f4dd24ccfbbf7f8202d22,316,60.015,5.265
FD0009,data/sitting_to_fall/video_20260216_151454.mp4,f5b55fe7ffbfbfdd1e71aacf3798d6ed31f4638d5ab7961ad66258c92c5e299c,385,60.015,6.415
FD0010,data/sitting_to_fall/video_20260216_151650.mp4,27d80e7658bb8f35cb4e813cd168413d73cff542cd6acd87fb10e598d78fe2e8,301,59.619,5.049
FD0011,data/sitting_to_fall/video_20260216_151931.mp4,58324d0e01b0a705733744cbff055220723baafde2986f1ef874c1e8bbb787af,216,60.018,3.599
FD0012,data/sitting_to_fall/video_20260216_152158.mp4,fb644d44867a59abc05204867e1abb0df73394d6944092aa4610ec0919383421,147,60.015,2.449
FD0013,data/sitting_to_fall/video_20260216_154403.mp4,31d4fec9426a76efb7cf7602bae2b3143d705e8697343cece7a56464c7fb9404,244,60.016,4.066
FD0014,data/sitting_to_fall/video_20260223_151341.mp4,939f5ad710d7ab7f7872250b02b6b30d611c48a821a0c0ba0a3abfb95c92f691,362,60.017,6.032
FD0015,data/sitting_to_fall/video_20260223_151402.mp4,c023410b6e1e45e0e19721fb63a7c002c6443b1e980ac484672678c86f36eac4,233,50.004,4.66
FD0016,data/sitting_to_fall/video_20260223_151433.mp4,255cc4b0e00e2c4cbf90b1286db2cf5b80519f691f6c7585c424c2b50b33db5d,340,50.004,6.799
