clip_id,frame_1,frame_2,hamming_distance,is_near_duplicate,interpretation
FD0035,0,10,27,False,active motion
FD0035,10,20,12,False,active motion
FD0035,20,30,6,False,active motion
FD0035,30,40,6,False,active motion
FD0035,40,50,15,False,active motion
FD0035,50,60,9,False,active motion
FD0035,60,70,10,False,active motion
FD0035,70,80,3,True,stationary / low motion
FD0035,80,90,9,False,active motion
FD0035,90,100,4,False,active motion
FD0035,100,110,2,True,stationary / low motion
FD0035,110,115,0,True,stationary / low motion
FD0035,115,120,4,False,active motion
FD0035,120,130,5,False,active motion
FD0035,130,140,8,False,active motion
FD0035,140,150,5,False,active motion
FD0035,150,160,5,False,active motion
FD0035,160,170,5,False,active motion
FD0035,170,180,7,False,active motion
FD0035,180,190,6,False,active motion
FD0035,190,200,5,False,active motion
FD0035,200,210,6,False,active motion
FD0035,210,220,10,False,active motion
FD0035,220,230,13,False,active motion
FD0035,230,231,0,True,stationary / low motion
FD0035,231,240,5,False,active motion
FD0035,240,250,7,False,active motion
FD0035,250,260,7,False,active motion
FD0035,260,270,3,True,stationary / low motion
FD0035,270,280,1,True,stationary / low motion
FD0035,280,290,1,True,stationary / low motion
FD0035,290,300,4,False,active motion
FD0035,300,310,6,False,active motion
FD0035,310,320,2,True,stationary / low motion
FD0035,320,330,2,True,stationary / low motion
FD0035,330,340,6,False,active motion
FD0035,340,347,2,True,stationary / low motion
FD0035,347,350,1,True,stationary / low motion
FD0035,350,360,3,True,stationary / low motion
FD0035,360,370,2,True,stationary / low motion
FD0035,370,380,3,True,stationary / low motion
FD0035,380,390,2,True,stationary / low motion
FD0035,390,400,2,True,stationary / low motion
FD0035,400,410,1,True,stationary / low motion
FD0035,410,420,2,True,stationary / low motion
FD0035,420,430,0,True,stationary / low motion
FD0035,430,440,1,True,stationary / low motion
FD0035,440,450,5,False,active motion
FD0035,450,460,10,False,active motion
FD0035,460,463,4,False,active motion
FD0035,463,464,1,True,stationary / low motion
FD0035,464,465,2,True,stationary / low motion
FD0035,465,470,5,False,active motion
FD0035,470,477,8,False,active motion
FD0035,477,480,7,False,active motion
FD0035,480,489,6,False,active motion
FD0035,489,490,5,False,active motion
FD0035,490,500,9,False,active motion
FD0035,500,501,4,False,active motion
FD0035,501,510,16,False,active motion
FD0035,510,513,4,False,active motion
FD0035,513,514,1,True,stationary / low motion
FD0035,514,515,1,True,stationary / low motion
FD0035,515,520,4,False,active motion
FD0035,520,523,1,True,stationary / low motion
FD0035,523,530,2,True,stationary / low motion
FD0035,530,531,0,True,stationary / low motion
FD0035,531,539,1,True,stationary / low motion
FD0035,539,540,0,True,stationary / low motion
FD0035,540,548,1,True,stationary / low motion
FD0035,548,549,1,True,stationary / low motion
FD0035,549,550,1,True,stationary / low motion
FD0035,550,560,0,True,stationary / low motion
FD0035,560,563,0,True,stationary / low motion
FD0035,563,570,1,True,stationary / low motion
FD0035,570,578,2,True,stationary / low motion
FD0044,0,10,2,True,stationary / low motion
FD0044,10,20,6,False,active motion
FD0044,20,30,7,False,active motion
FD0044,30,40,7,False,active motion
FD0044,40,50,5,False,active motion
FD0044,50,54,2,True,stationary / low motion
FD0044,54,60,2,True,stationary / low motion
FD0044,60,70,6,False,active motion
FD0044,70,80,12,False,active motion
FD0044,80,90,7,False,active motion
FD0044,90,100,8,False,active motion
FD0044,100,108,3,True,stationary / low motion
FD0044,108,110,2,True,stationary / low motion
FD0044,110,120,1,True,stationary / low motion
FD0044,120,130,3,True,stationary / low motion
FD0044,130,140,2,True,stationary / low motion
FD0044,140,150,4,False,active motion
FD0044,150,160,4,False,active motion
FD0044,160,162,3,True,stationary / low motion
FD0044,162,170,1,True,stationary / low motion
FD0044,170,180,6,False,active motion
FD0044,180,190,11,False,active motion
FD0044,190,200,11,False,active motion
FD0044,200,210,9,False,active motion
FD0044,210,217,4,False,active motion
FD0044,217,218,1,True,stationary / low motion
FD0044,218,219,0,True,stationary / low motion
FD0044,219,220,1,True,stationary / low motion
FD0044,220,230,6,False,active motion
FD0044,230,239,9,False,active motion
FD0044,239,240,4,False,active motion
FD0044,240,250,13,False,active motion
FD0044,250,260,13,False,active motion
FD0044,260,270,13,False,active motion
FD0044,270,280,11,False,active motion
FD0044,280,281,0,True,stationary / low motion
FD0044,281,290,16,False,active motion
FD0044,290,300,13,False,active motion
FD0044,300,302,5,False,active motion
FD0044,302,303,2,True,stationary / low motion
FD0044,303,304,1,True,stationary / low motion
FD0044,304,310,5,False,active motion
FD0044,310,320,11,False,active motion
FD0044,320,330,7,False,active motion
FD0044,330,340,7,False,active motion
FD0044,340,350,4,False,active motion
FD0044,350,356,2,True,stationary / low motion
FD0044,356,360,4,False,active motion
FD0044,360,370,5,False,active motion
FD0044,370,380,5,False,active motion
FD0044,380,382,1,True,stationary / low motion
FD0044,382,390,3,True,stationary / low motion
FD0044,390,400,13,False,active motion
FD0044,400,408,11,False,active motion
FD0044,408,409,0,True,stationary / low motion
FD0044,409,410,2,True,stationary / low motion
FD0044,410,420,9,False,active motion
FD0044,420,430,8,False,active motion
FD0044,430,440,10,False,active motion
FD0044,440,441,1,True,stationary / low motion
FD0044,441,450,3,True,stationary / low motion
FD0044,450,460,14,False,active motion
FD0044,460,470,10,False,active motion
FD0044,470,473,3,True,stationary / low motion
